dim_0,x,y,malaria,lst,rainfall
0,32.983333333333334,4.074999999999999,0.23333333333333334,0.7574713,-0.23554178
1,30.45,-0.4083333333333332,0.23333333333333334,-0.47096273,-0.2172588
2,34.3,-0.875,0.3,0.9882831,0.12157604
3,34.03333333333333,-1.0083333333333337,0.0,-1.5223895,-0.91638136
4,31.816666666666666,2.8249999999999997,0.43333333333333335,0.26308912,0.33799535
5,30.049999999999997,-0.4416666666666673,0.13333333333333333,-1.1287075,0.7489914
6,32.18333333333333,3.425,0.26666666666666666,1.6313888,-0.3718174
7,32.233333333333334,0.708333333333333,0.2,-0.39957926,0.772102
8,32.13333333333333,3.358333333333333,0.3333333333333333,1.549576,-0.29270035
9,33.666666666666664,3.4916666666666663,0.3,1.0903041,-0.48152345
10,31.916666666666664,1.3416666666666663,0.23333333333333334,0.20936343,-0.22343482
11,29.683333333333334,1.7749999999999995,0.26666666666666666,-1.1267046,1.1038567
12,32.9,-1.0750000000000002,0.2,-1.6963851,1.1658674
13,34.63333333333333,-0.27500000000000036,0.26666666666666666,-1.4125271,0.6262874
14,30.133333333333333,4.091666666666666,0.3,0.5077183,0.589889
15,29.98333333333333,-0.9583333333333339,0.03333333333333333,-0.44969782,-0.552648
16,31.45,0.6583333333333332,0.06666666666666667,-0.5609173,0.17741662
17,32.83333333333333,1.608333333333333,0.1,0.056132633,-0.4159245
18,33.949999999999996,3.158333333333333,0.26666666666666666,1.1240056,-1.100501
19,33.099999999999994,-0.791666666666667,0.03333333333333333,-1.6892084,0.20075521
20,32.21666666666667,2.3083333333333327,0.3333333333333333,0.08286298,0.4504343
21,31.066666666666666,2.5916666666666663,0.2,0.95029664,-0.76499146
22,31.98333333333333,-1.3916666666666666,0.3,-1.81121,1.3080686
23,30.316666666666666,1.8416666666666663,0.03333333333333333,-1.0503,0.36221138
24,34.38333333333333,2.8916666666666666,0.0,1.6985837,-2.0537806
25,30.316666666666666,0.17499999999999982,0.13333333333333333,-0.65907276,-0.0743303
26,32.699999999999996,2.058333333333333,0.16666666666666666,0.5985572,0.29681978
27,34.65,1.858333333333333,0.23333333333333334,1.4609722,-0.55752957
28,34.3,0.47499999999999964,0.3,0.03990443,1.306588
29,30.23333333333333,1.6416666666666662,0.13333333333333333,-0.5124041,-0.20445783
30,31.866666666666664,1.2749999999999995,0.16666666666666666,0.008586343,-0.015492375
31,31.383333333333333,-1.4750000000000005,0.2,0.23652962,-0.4747497
32,34.483333333333334,2.8083333333333327,0.06666666666666667,1.2603605,-2.1541717
33,31.816666666666666,2.658333333333333,0.26666666666666666,0.4578456,0.18796758
34,33.016666666666666,2.6416666666666666,0.4,0.9588496,0.7768596
35,34.68333333333333,0.7749999999999999,0.43333333333333335,0.4190127,0.87974495
36,33.233333333333334,-1.2583333333333337,0.03333333333333333,-1.7336247,-0.72613376
37,32.266666666666666,1.5249999999999995,0.16666666666666666,0.22757971,-0.29213306
38,33.05,0.07499999999999929,0.06666666666666667,-1.6027654,0.80590737
39,31.25,1.958333333333333,0.0,-1.2352563,-0.9350947
